text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:59:41,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @DavidGlantz3: When Jaime returns to Winterfell for Brienne. #GOT #GameofThrones #JaimeLannister #BrienneOfTarth https://t.co/D2WuppMbuW,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:59:35,rt davidglantz3 when jaime return to winterfell for brienne got gameofthrones jaimelannister brienneoftarth http co d2wuppmbuw
@Nabeel_ARS @m_alkali_ I married Jaime Lannister and I’m proud of it 😹😹 https://t.co/Mm6IcqgYld,05/11/2019,JaimeLannister,Pos,0.525,0.625,05/11/2019 23:59:18,nabeel_ars m_alkali_ married jaime lannister and m proud of it http co mm6icqgyld
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:58:47,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
"RT @eindranotkendra: i'm all caught up on got and now all i care about seeing is my mother, ser brienne of tarth, castrate jaime lannister…",05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:58:47,rt eindranotkendra m all caught up on got and now all care about seeing is my mother ser brienne of tarth castrate jaime lannister
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:58:00,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:57:53,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:57:15,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:56:19,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:56:18,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @DavidGlantz3: When Jaime returns to Winterfell for Brienne. #GOT #GameofThrones #JaimeLannister #BrienneOfTarth https://t.co/D2WuppMbuW,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:56:11,rt davidglantz3 when jaime return to winterfell for brienne got gameofthrones jaimelannister brienneoftarth http co d2wuppmbuw
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:56:01,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:56:01,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
Me protecting and cuddling Jaime Lannister during his last night alive  https://t.co/07jhGiatrj,05/11/2019,JaimeLannister,Pos,0.05,0.23333333333333334,05/11/2019 23:55:32,me protecting and cuddling jaime lannister during his last night alive http co 07jhgiatrj
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:55:10,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:55:09,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:54:33,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @lannistexr: jaime lannister and robb stark are the hottest men in westeros fight me,05/11/2019,JaimeLannister,Neg,-0.2,0.6,05/11/2019 23:54:24,rt lannistexr jaime lannister and robb stark are the hottest men in westeros fight me
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:54:22,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:52:52,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:52:02,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:51:56,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:51:50,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @weirwoodthrone: Jaime Lannister's hair looks sexy pushed back. https://t.co/CV3DQexwWP,05/11/2019,JaimeLannister,Pos,0.25,0.5,05/11/2019 23:51:35,rt weirwoodthrone jaime lannister hair look sexy pushed back http co cv3dqexwwp
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:51:07,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
"Day 96372 of the journal of Ser Jaime Lannister:

    ""Is she referring to me when she says her brother is whiny? I… https://t.co/JDqOIFr3Rx",05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:51:06,day 96372 of the journal of ser jaime lannister is she referring to me when she say her brother is whiny http co jdqoifr3rx
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:51:06,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:50:58,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @lannistexr: jaime lannister and robb stark are the hottest men in westeros fight me,05/11/2019,JaimeLannister,Neg,-0.2,0.6,05/11/2019 23:50:44,rt lannistexr jaime lannister and robb stark are the hottest men in westeros fight me
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:50:29,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:49:58,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:48:39,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:48:15,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:46:33,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:46:09,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:45:57,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:45:26,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:45:15,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:45:07,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @C_Mask1: @kisssudbury &amp; @thatshannonking have been trying to woo Jaime  Lannister ( @GameOfThrones ) into  studio while he is filming a…,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:45:02,rt c_mask1 kisssudbury amp thatshannonking have been trying to woo jaime lannister gameofthrones into studio while he is filming
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:44:40,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:44:04,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:43:57,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:43:13,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:43:10,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:43:10,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:42:57,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:42:51,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:42:43,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:42:12,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
#lowcosoplay Jaime Lannister https://t.co/TN2K7W3vZC,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:41:48,lowcosoplay jaime lannister http co tn2k7w3vzc
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:41:25,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:39:53,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:39:49,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:39:44,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:39:39,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:38:33,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:37:54,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:37:11,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:36:47,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:36:33,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:36:05,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:35:58,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:39,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @DavidGlantz3: When Jaime returns to Winterfell for Brienne. #GOT #GameofThrones #JaimeLannister #BrienneOfTarth https://t.co/D2WuppMbuW,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:28,rt davidglantz3 when jaime return to winterfell for brienne got gameofthrones jaimelannister brienneoftarth http co d2wuppmbuw
lighters in the air for jaime lannister tonight x,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:13,lighter in the air for jaime lannister tonight x
@Anpanmom1 he looks like Jaime Lannister I wanna ask if I can be his Cersei 💀,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:13,anpanmom1 he look like jaime lannister wanna ask if can be his cersei
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:04,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
"Oathkeeper.

#GameofThrones #ForTheThrone #BrienneOfTarth #JaimeLannister https://t.co/CF0eyn7lvM",05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:34:02,oathkeeper gameofthrones forthethrone brienneoftarth jaimelannister http co cf0eyn7lvm
RT @und0milk: you all know by now i adore jaime lannister and @nikolajcw's portrayal of him so i wrote a piece about it: nikolaj coster-wal…,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:33:24,rt und0milk you all know by now adore jaime lannister and nikolajcw portrayal of him so wrote piece about it nikolaj coster wal
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:33:16,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:33:15,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:33:14,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:33:00,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:32:02,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:31:22,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:31:07,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:31:06,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:59,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:57,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:56,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:47,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:39,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:38,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:30:05,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @ThinkHero: Infinity Gauntlet or Jaime Lannister's golden hand? https://t.co/TTZhQVSVgP,05/11/2019,JaimeLannister,Pos,0.3,0.5,05/11/2019 23:29:09,rt thinkhero infinity gauntlet or jaime lannister golden hand http co ttzhqvsvgp
do not slander #JaimeLannister. jaime lannister is the hero of #GameofThrones fight me,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:28:53,do not slander jaimelannister jaime lannister is the hero of gameofthrones fight me
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:28:45,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:27:34,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:27:03,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:26:41,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:26:36,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
RT @_Ummagummas: Jaime Lannister llegando a King's Landing https://t.co/QeZ5iegmfN,05/11/2019,JaimeLannister,Neu,0.0,0.0,05/11/2019 23:26:08,rt _ummagummas jaime lannister llegando king landing http co qez5iegmfn
